CookerStat, GenerateAssetRegistry=0.034209, Initialize=0.211541, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_0, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Maps/MultiplayerLevel.umap, AutoPackageBackupDelegate=6.044663, FlushAsyncLoading=0.011973, FlushStreamingFunc=0.056449, BlockTillAllRequestsFinished=0.005703, ResetLoadersForSaveUnMarkAllObjects=83.214020, TagPackageExports=8.046623, BeginCacheForCookedPlatformData=0.003990, SerializeImports=10.516148, GatherLocalizableTextData=16.254616, MarkNames=0.093512, SerializeSummary=0.020526, SerializeNames=0.492651, SerializeGatherableTextData=0.088379, BuildExportMap=0.639763, SortExportsNonSeekfree=2.204381, SortExportsSeekfreeConstructor=0.103209, SortExportsSeekfreeInner=15.044082, SortExportsSeekfree=0.005133, BuildDependencyMap=0.215534, SerializeImportMap=0.038773, SerializeExportMap=0.047326, SerializeDependencyMap=0.016537, SerializeStringAssetReferenceMap=0.002280, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.130259, SerializeExports=11.399955, SerializeBulkData=5.889568, MoveFile=3.476493, UnaccountedTime=0.920869, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_1, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/TrackMasterBP.uasset, AutoPackageBackupDelegate=5.762413, FlushAsyncLoading=0.010833, FlushStreamingFunc=0.065003, BlockTillAllRequestsFinished=0.007983, ResetLoadersForSaveUnMarkAllObjects=0.127155, TagPackageExports=2.210084, BeginCacheForCookedPlatformData=0.004563, SerializeImports=47.209484, GatherLocalizableTextData=3.354471, MarkNames=0.024516, SerializeSummary=0.011403, SerializeNames=0.118032, SerializeGatherableTextData=0.092942, BuildExportMap=0.098646, SortExportsNonSeekfree=0.216104, SortExportsSeekfreeConstructor=0.008553, SortExportsSeekfreeInner=5.033702, SortExportsSeekfree=0.003990, BuildDependencyMap=0.029080, SerializeImportMap=0.007983, SerializeExportMap=0.014257, SerializeDependencyMap=0.003994, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.383742, SerializeExports=3.001518, SerializeBulkData=0.005130, MoveFile=4.977822, UnaccountedTime=1.025215, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_2, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/Track15LeftBP.uasset, AutoPackageBackupDelegate=6.956406, FlushAsyncLoading=0.007413, FlushStreamingFunc=0.087239, BlockTillAllRequestsFinished=0.005703, ResetLoadersForSaveUnMarkAllObjects=0.113469, TagPackageExports=2.017926, BeginCacheForCookedPlatformData=0.004560, SerializeImports=1.894198, GatherLocalizableTextData=1.865115, MarkNames=0.023946, SerializeSummary=0.010833, SerializeNames=0.118032, SerializeGatherableTextData=0.006843, BuildExportMap=0.090662, SortExportsNonSeekfree=0.140838, SortExportsSeekfreeConstructor=0.057589, SortExportsSeekfreeInner=4.639126, SortExportsSeekfree=0.005130, BuildDependencyMap=0.022810, SerializeImportMap=0.010263, SerializeExportMap=0.011973, SerializeDependencyMap=0.002850, SerializeStringAssetReferenceMap=0.002280, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.298213, SerializeExports=1.625635, SerializeBulkData=0.007983, MoveFile=4.107132, UnaccountedTime=1.357067, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_3, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/Track15RightBP.uasset, AutoPackageBackupDelegate=6.224271, FlushAsyncLoading=0.007983, FlushStreamingFunc=0.062723, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.119742, TagPackageExports=2.004813, BeginCacheForCookedPlatformData=0.003420, SerializeImports=1.501899, GatherLocalizableTextData=2.667382, MarkNames=0.026230, SerializeSummary=0.011403, SerializeNames=0.155095, SerializeGatherableTextData=0.011973, BuildExportMap=0.132859, SortExportsNonSeekfree=0.154521, SortExportsSeekfreeConstructor=0.009123, SortExportsSeekfreeInner=4.066646, SortExportsSeekfree=0.005133, BuildDependencyMap=0.022236, SerializeImportMap=0.011977, SerializeExportMap=0.015963, SerializeDependencyMap=0.002854, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.320449, SerializeExports=1.607958, SerializeBulkData=0.005700, MoveFile=4.541625, UnaccountedTime=0.856433, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_4, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/Track30LeftBP.uasset, AutoPackageBackupDelegate=5.132914, FlushAsyncLoading=0.009123, FlushStreamingFunc=0.076406, BlockTillAllRequestsFinished=0.006273, ResetLoadersForSaveUnMarkAllObjects=0.119742, TagPackageExports=1.687214, BeginCacheForCookedPlatformData=0.003420, SerializeImports=2.147935, GatherLocalizableTextData=2.247147, MarkNames=0.022806, SerializeSummary=0.011403, SerializeNames=0.114042, SerializeGatherableTextData=0.079256, BuildExportMap=0.095222, SortExportsNonSeekfree=0.136849, SortExportsSeekfreeConstructor=0.057589, SortExportsSeekfreeInner=3.853966, SortExportsSeekfree=0.003990, BuildDependencyMap=0.020526, SerializeImportMap=0.012543, SerializeExportMap=0.013687, SerializeDependencyMap=0.002854, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.322159, SerializeExports=1.901608, SerializeBulkData=0.006843, MoveFile=4.367709, UnaccountedTime=0.796568, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_5, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/Track30RightBP.uasset, AutoPackageBackupDelegate=6.275021, FlushAsyncLoading=0.009123, FlushStreamingFunc=0.066712, BlockTillAllRequestsFinished=0.005703, ResetLoadersForSaveUnMarkAllObjects=0.118602, TagPackageExports=1.241889, BeginCacheForCookedPlatformData=0.002854, SerializeImports=1.565762, GatherLocalizableTextData=3.364734, MarkNames=0.049606, SerializeSummary=0.015397, SerializeNames=0.181321, SerializeGatherableTextData=0.011403, BuildExportMap=0.197288, SortExportsNonSeekfree=0.226371, SortExportsSeekfreeConstructor=0.095792, SortExportsSeekfreeInner=6.778505, SortExportsSeekfree=0.007983, BuildDependencyMap=0.038773, SerializeImportMap=0.014257, SerializeExportMap=0.015963, SerializeDependencyMap=0.003990, SerializeStringAssetReferenceMap=0.002850, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.459582, SerializeExports=2.594966, SerializeBulkData=0.007983, MoveFile=4.948173, UnaccountedTime=0.980739, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_6, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/Track45LeftBP.uasset, AutoPackageBackupDelegate=5.672894, FlushAsyncLoading=0.011973, FlushStreamingFunc=0.070706, BlockTillAllRequestsFinished=0.009120, ResetLoadersForSaveUnMarkAllObjects=0.137988, TagPackageExports=1.599405, BeginCacheForCookedPlatformData=0.002280, SerializeImports=2.139382, GatherLocalizableTextData=3.109854, MarkNames=0.031933, SerializeSummary=0.011973, SerializeNames=0.155665, SerializeGatherableTextData=0.009123, BuildExportMap=0.131145, SortExportsNonSeekfree=0.197288, SortExportsSeekfreeConstructor=0.010833, SortExportsSeekfreeInner=6.501958, SortExportsSeekfree=0.004563, BuildDependencyMap=0.030220, SerializeImportMap=0.010833, SerializeExportMap=0.013687, SerializeDependencyMap=0.003990, SerializeStringAssetReferenceMap=0.002280, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.393439, SerializeExports=2.131965, SerializeBulkData=0.004563, MoveFile=3.833436, UnaccountedTime=0.803407, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_7, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/Track45RightBP.uasset, AutoPackageBackupDelegate=6.831531, FlushAsyncLoading=0.010263, FlushStreamingFunc=0.068996, BlockTillAllRequestsFinished=0.007983, ResetLoadersForSaveUnMarkAllObjects=0.120882, TagPackageExports=1.097627, BeginCacheForCookedPlatformData=0.002284, SerializeImports=1.765899, GatherLocalizableTextData=2.070956, MarkNames=0.037063, SerializeSummary=0.019386, SerializeNames=0.183605, SerializeGatherableTextData=0.014827, BuildExportMap=0.145968, SortExportsNonSeekfree=0.160225, SortExportsSeekfreeConstructor=0.009123, SortExportsSeekfreeInner=3.940634, SortExportsSeekfree=0.003994, BuildDependencyMap=0.020526, SerializeImportMap=0.008553, SerializeExportMap=0.010833, SerializeDependencyMap=0.003420, SerializeStringAssetReferenceMap=0.002280, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.289090, SerializeExports=1.487076, SerializeBulkData=0.005130, MoveFile=3.951468, UnaccountedTime=0.814244, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_8, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Maps/MultiplayerLevel.umap, AutoPackageBackupDelegate=2.750062, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.078689, BlockTillAllRequestsFinished=0.004560, ResetLoadersForSaveUnMarkAllObjects=84.678291, TagPackageExports=6.359980, BeginCacheForCookedPlatformData=0.003994, SerializeImports=7.101234, GatherLocalizableTextData=9.425361, MarkNames=0.780031, SerializeSummary=0.022810, SerializeNames=0.746388, SerializeGatherableTextData=0.056449, BuildExportMap=0.406548, SortExportsNonSeekfree=1.174036, SortExportsSeekfreeConstructor=0.075266, SortExportsSeekfreeInner=14.914651, SortExportsSeekfree=0.006843, BuildDependencyMap=0.147682, SerializeImportMap=0.039347, SerializeExportMap=0.053596, SerializeDependencyMap=0.014827, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.560058, SerializeExports=12.824308, SerializeBulkData=4.812464, MoveFile=3.946908, UnaccountedTime=0.901479, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
SavePackageTransactionIdC0200EF8460DE062F59CF88541738984_9, Filename=D:/Home/Documents/Unreal Engine Projects/LoseOrDieMultiplayer/Content/Assets/Tracks/BP/TrackMasterBP.uasset, AutoPackageBackupDelegate=2.333816, FlushAsyncLoading=0.003994, FlushStreamingFunc=0.061579, BlockTillAllRequestsFinished=0.004563, ResetLoadersForSaveUnMarkAllObjects=0.110045, TagPackageExports=3.214199, BeginCacheForCookedPlatformData=0.003424, SerializeImports=3.629874, GatherLocalizableTextData=3.042001, MarkNames=0.023380, SerializeSummary=0.010833, SerializeNames=0.120312, SerializeGatherableTextData=0.095792, BuildExportMap=0.098076, SortExportsNonSeekfree=0.295360, SortExportsSeekfreeConstructor=0.008553, SortExportsSeekfreeInner=5.549163, SortExportsSeekfree=0.003990, BuildDependencyMap=0.031359, SerializeImportMap=0.009693, SerializeExportMap=0.019956, SerializeDependencyMap=0.005133, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.413392, SerializeExports=4.285604, SerializeBulkData=0.007983, MoveFile=4.943609, UnaccountedTime=0.819374, RunGuid=RunID337DEFAA425E343DE45D6598950819B0
