CookerStat, GenerateAssetRegistry=0.022706, Initialize=0.135288, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId7EF4635D42CC78AA3299A58776379C90_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7D49E6CB4E44FBFA6__510DD09816A0703A8CD7A04835423ED2E940A3C9, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=2377, Duration=3.951933, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9CD28AFE40176DB0C__F779DC7BBD860DC97BEE582C38E518439D723425, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=1149, Duration=3.426958, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D5C898E14099D48B9__44B8529F2217CF7FEDD69131DE7EAE144C20437D, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=2209, Duration=3.615424, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId7EF4635D42CC78AA3299A58776379C90_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_494B548D497F7A631__4438B9488EC4B767D8CB79488B6DBF029DC46912, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=1221, Duration=3.796119, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F0967E5643D911E9E__3B0EB4529D8909EED628EBD940F5AF6B37B67354, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=1273, Duration=3.797054, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_4D2B69C6449084118__7101553812A14FB8A0756885A6805B2D865922C0, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=885, Duration=3.494445, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId7EF4635D42CC78AA3299A58776379C90_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_FA0520A1468D6F1F6__0ECE888AC2B4D645154954D82480BA25AB8B443F, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=2113, Duration=6.225060, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_56ED5B90444D2ABCF__A0D7FA380A7BD066A326A271B2A5BF0044DED1A8, StartTime=2016.05.16-02.35.51, HierarchicalDDC=, DataSize=1221, Duration=4.424658, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_0, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Maps/MultiplayerLevel.umap, AutoPackageBackupDelegate=248.449493, FlushAsyncLoading=0.013374, FlushStreamingFunc=0.091124, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=85.551056, TagPackageExports=14.413804, BeginCacheForCookedPlatformData=0.015862, SerializeImports=19.296259, GatherLocalizableTextData=12.189191, MarkNames=0.166699, SerializeSummary=0.028301, SerializeNames=0.461217, SerializeGatherableTextData=0.181317, BuildExportMap=0.358585, SortExportsNonSeekfree=1.976121, SortExportsSeekfreeConstructor=0.066247, SortExportsSeekfreeInner=23.945461, SortExportsSeekfree=0.008706, BuildDependencyMap=0.225790, SerializeImportMap=0.081483, SerializeExportMap=0.083350, SerializeDependencyMap=0.017103, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.094302, SerializeExports=18.596500, SerializeBulkData=4.366189, MoveFile=4.468817, UnaccountedTime=4.419993, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_1, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Saved/Autosaves/Game/Maps/MultiplayerLevel_Auto1.umap, AutoPackageBackupDelegate=5.753890, FlushAsyncLoading=0.014309, FlushStreamingFunc=0.051003, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=88.124298, TagPackageExports=13.592750, BeginCacheForCookedPlatformData=0.006221, SerializeImports=16.013298, GatherLocalizableTextData=12.522586, MarkNames=0.146486, SerializeSummary=0.018969, SerializeNames=0.579402, SerializeGatherableTextData=0.262175, BuildExportMap=1.820933, SortExportsNonSeekfree=2.671216, SortExportsSeekfreeConstructor=0.283010, SortExportsSeekfreeInner=28.277441, SortExportsSeekfree=0.008088, BuildDependencyMap=0.211481, SerializeImportMap=0.032969, SerializeExportMap=0.066865, SerializeDependencyMap=0.017107, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.101455, SerializeExports=18.308823, SerializeBulkData=3.544826, MoveFile=3.787719, UnaccountedTime=0.164524, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_2, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Saved/Autosaves/Game/Assets/Tracks/BP/TrackRampBP_Auto1.uasset, AutoPackageBackupDelegate=0.072155, FlushAsyncLoading=0.003420, FlushStreamingFunc=0.274617, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.101388, TagPackageExports=1.041554, BeginCacheForCookedPlatformData=0.002176, SerializeImports=1.658898, GatherLocalizableTextData=1.822483, MarkNames=0.018664, SerializeSummary=0.010885, SerializeNames=0.082102, SerializeGatherableTextData=0.007778, BuildExportMap=0.061579, SortExportsNonSeekfree=0.085834, SortExportsSeekfreeConstructor=0.007465, SortExportsSeekfreeInner=4.004180, SortExportsSeekfree=0.003733, BuildDependencyMap=0.018038, SerializeImportMap=0.008397, SerializeExportMap=0.009641, SerializeDependencyMap=0.002176, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.264354, SerializeExports=1.484733, SerializeBulkData=0.004664, MoveFile=3.646836, UnaccountedTime=0.134043, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_4F__4C96D07A47BEA08803C97F15809F53FC442E71F0, StartTime=2016.05.16-03.14.20, HierarchicalDDC=, DataSize=1753, Duration=5.548317, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId7EF4635D42CC78AA3299A58776379C90_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_003CD5164A14001888C0F49327D938A__C7D63CA2561C396E2317792330E0ECB8F3F9C904, StartTime=2016.05.16-03.14.20, HierarchicalDDC=, DataSize=952, Duration=3.648080, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C95403A441B291DDDE8F54BD4D115D3__8D596DF40EFF0064A2F3E19655D4CB4CED2302EF, StartTime=2016.05.16-03.14.20, HierarchicalDDC=, DataSize=2062, Duration=4.181452, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6D43063F4F9F7A901B76EF95ABEF16C__4B521DA65FD46ED6ABA955A886FC20C979FB2826, StartTime=2016.05.16-03.14.45, HierarchicalDDC=, DataSize=952, Duration=4.506137, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AE12FE634EC07B25874A35A74669C44__9A757BDD4983770648492356EA23A59EA008D2C6, StartTime=2016.05.16-03.14.49, HierarchicalDDC=, DataSize=2062, Duration=3.851164, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_84BFFA7F40632155EE762896442B064__A440FD5A64CD59A4704C67888FF41C080448D083, StartTime=2016.05.16-03.14.58, HierarchicalDDC=, DataSize=2214, Duration=4.122983, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
